seed,epoch,train_mse,train_mae_eV,val_mae_eV
0,1,0.3022854175068438,0.531679544277049,0.407289356136322
0,2,0.13422003087699413,0.34315973674843747,0.30523194890022276
0,3,0.09445050363913178,0.2919304436423389,0.30860047488212583
0,4,0.0818101916525513,0.2702258995163268,0.26267876000404355
0,5,0.06733506404682994,0.2508347619921648,0.23943996639251708
0,6,0.06221787475012243,0.235363769139182,0.23835881266593933
0,7,0.0496491029869765,0.21696080170056922,0.23887029280662536
0,8,0.057990166132338344,0.20961791680931596,0.2755309585094452
0,9,0.04347792901173234,0.1988397253234181,0.22071878495216368
0,10,0.03691672444678843,0.18807413143799198,0.21032902708053589
0,11,0.05901267200037837,0.18243182056274135,0.19839740819931032
0,12,0.029369999898318202,0.16308345532974802,0.1917647574901581
0,13,0.025325377194024622,0.15517992638180864,0.18767707648277282
0,14,0.026208494538068772,0.15265134849543557,0.18351681141853332
0,15,0.023551530173886566,0.14872110856830287,0.19916571459770202
0,16,0.022943011358752846,0.14680845899944642,0.18669821591377259
0,17,0.019262271706853063,0.13641100568776657,0.19269265923500062
0,18,0.018778425741242246,0.13466085694439292,0.18864417672157288
0,19,0.01970854177735746,0.1337433522631227,0.18683185987472534
0,20,0.01700360136013478,0.12591561213724378,0.18143286728858948
0,21,0.015467950627859682,0.11916144432107081,0.18257745780944823
0,22,0.015126937975827605,0.11548225453928865,0.16903122410774232
0,23,0.012226920800469816,0.10943219824583543,0.17941981844902039
0,24,0.014160872773174196,0.11446437709295958,0.17633779320716858
0,25,0.012164442799054086,0.1051385267819145,0.17276082606315613
0,26,0.010674926454201341,0.10105451715049227,0.174840665102005
0,27,0.01061853381479159,0.09903582947641519,0.178336288022995
0,28,0.010303213166212664,0.09450946266096096,0.16613232798576355
0,29,0.00783755053547211,0.08754442657118118,0.16570969848632813
0,30,0.00954060550732538,0.09194266760120101,0.1778321406841278
0,31,0.007657285325508564,0.08528762515420424,0.16615375375747682
0,32,0.010824854905437678,0.08109511766038305,0.1652055408000946
0,33,0.0068102812118828295,0.08024703913703234,0.17338221716880797
0,34,0.007158542127814144,0.08022356605879702,0.16339909930229188
0,35,0.006593773184204474,0.07525709919783062,0.17385214638710023
0,36,0.006492679700558074,0.07633273915158917,0.16216965622901916
0,37,0.005886968303332105,0.071526106349067,0.15962784786224365
0,38,0.005161042374488898,0.068929646848462,0.16655755767822267
0,39,0.004845578406425193,0.06732103224690862,0.16388186416625977
0,40,0.004724487271625549,0.06678603400011669,0.16302374529838562
0,41,0.004619256053119898,0.06511212676504621,0.16669020981788635
0,42,0.004402884640172124,0.0640395053515027,0.16601239523887634
0,43,0.003949844185111579,0.06090425284272115,0.15839245228767396
0,44,0.003991171455080621,0.059833381219022694,0.1592435266017914
0,45,0.003438782444712706,0.05703058696863713,0.1606855935573578
0,46,0.0036172357518225906,0.057716299209657936,0.15858226671218872
0,47,0.003378315786831081,0.05607876653661954,0.15735441880226136
0,48,0.0030412464089225977,0.05256815733266429,0.15842594528198242
0,49,0.0027733887090929782,0.05101496845496689,0.15719534015655517
0,50,0.002673555889877025,0.05005527576703414,0.15780785083770751
0,51,0.0025624584169941953,0.04937281090000973,0.1620942690372467
0,52,0.002591498132958077,0.048962692742834206,0.15728307938575745
0,53,0.002201333598420024,0.04506412966230291,0.1582058711051941
0,54,0.0022423416535719298,0.045880618356307364,0.15715201530456543
0,55,0.002040186021593399,0.04338054587108348,0.15549278402328492
0,56,0.0019824779773363844,0.043041292966805846,0.1568845428466797
0,57,0.0018867361691955011,0.04184458404752988,0.15510862646102905
0,58,0.0017029695821460336,0.0393948383787175,0.154877246427536
0,59,0.00169190798488562,0.039471696769619216,0.15510351028442382
0,60,0.0015977020646445452,0.038507575836470964,0.15537388472557068
0,61,0.0014619404405297246,0.036884010125154465,0.15489124374389648
0,62,0.001316214147093706,0.034747114993511366,0.15482089004516603
0,63,0.001371315685706213,0.03538982463951309,0.15579317712783813
0,64,0.001226929790712893,0.03358892872835258,0.15311425337791443
0,65,0.00119570316055906,0.03307385035346902,0.15474543523788453
0,66,0.0010794988634123001,0.031301407665033726,0.15354408354759216
0,67,0.0010646686570136808,0.03081435310161743,0.1548705858707428
0,68,0.001054432315583108,0.03043253949443649,0.15335332293510437
0,69,0.0009380831870192196,0.028781854832892462,0.15434097628593446
0,70,0.0009027241212548688,0.02826493411415539,0.15411609802246093
0,71,0.0008897081149450969,0.027618163769661017,0.15349901399612426
0,72,0.0008313766216742806,0.026773140740184335,0.15360811190605164
0,73,0.0007447911119554192,0.025459420568132454,0.1528567419052124
0,74,0.0006902973302814644,0.024667300685300937,0.15376807489395142
0,75,0.0006880077879206511,0.024525648325981583,0.15358728289604187
0,76,0.0006751682191505097,0.023971563733586266,0.1536752413749695
0,77,0.0005962558986735531,0.022730258119452146,0.1529404109954834
0,78,0.0006295676772366278,0.022926884556931367,0.1534296630859375
0,79,0.000582938842693693,0.02207770409043575,0.15350820503234863
0,80,0.0005681822591228411,0.02131870375451176,0.15309391474723816
0,81,0.0005073248332861112,0.020579322726467366,0.15320303740501404
0,82,0.00047531197037314996,0.019995505413413158,0.15322427787780762
0,83,0.0004924544437060831,0.019722505280199417,0.1532882757663727
0,84,0.0005190762264552177,0.019730591644023163,0.15282957887649537
0,85,0.00047475246223621073,0.019348852936718175,0.15278839573860167
0,86,0.00045746784819639287,0.018885595490582763,0.15293571166992187
0,87,0.0004273770017985953,0.018281782928708235,0.15270046100616455
0,88,0.00039826475603913425,0.017560888513207328,0.1527042562007904
0,89,0.0004263504978138371,0.0177278447868351,0.1531243411064148
0,90,0.00041549273665441433,0.01758010582751965,0.15288504700660704
0,91,0.0003969741450317088,0.01727374052541888,0.15272683157920838
0,92,0.00042873792288592084,0.01727993890079017,0.15286027369499205
0,93,0.0003514969822441344,0.016669154779202937,0.152922189950943
0,94,0.0003834207015883294,0.016875256716893102,0.15298387961387636
0,95,0.0003602190959369182,0.0164546906791449,0.1528624004840851
0,96,0.000363270502082014,0.016461082653916128,0.15284712309837342
0,97,0.00037251462435378927,0.016283022867446158,0.15280727133750915
0,98,0.0003382096354471287,0.01592903037135071,0.15282992882728577
0,99,0.0003554131762779434,0.016329499942650497,0.15296852130889893
0,100,0.00034845342078333486,0.01605386341258051,0.15283018784523011
1,1,0.2874650254651904,0.5195769388141234,0.3361807566165924
1,2,0.11912720340266823,0.3305190405569771,0.2859728915691376
1,3,0.08880454545989633,0.28548050530441627,0.2896206167221069
1,4,0.09453699566796422,0.26312336952483756,0.24374036321640014
1,5,0.06128122378159315,0.2357281019128768,0.22910568642616272
1,6,0.054166121384687724,0.2263766290507677,0.222975377035141
1,7,0.04787907999549061,0.21387512125174835,0.21893673768043517
1,8,0.05617108434922993,0.20438696815357324,0.21910528392791748
1,9,0.038492898891493675,0.18660312711972385,0.22213304462432862
1,10,0.038018232987076045,0.18626560512911042,0.2061396083831787
1,11,0.034230068360455335,0.17751848407671886,0.20426767234802246
1,12,0.03246755765452981,0.16831463030770613,0.21742547721862793
1,13,0.027220275858230888,0.15849605636897138,0.194260852766037
1,14,0.03864283135272562,0.16078946355078708,0.18367650179862977
1,15,0.023816204771306367,0.14472049971570536,0.18804898638725281
1,16,0.020698254514671863,0.1396496486408766,0.20056762232780456
1,17,0.019702027703821658,0.13744530481846073,0.1837160895347595
1,18,0.02012394487038255,0.1309516276897591,0.18353429894447326
1,19,0.017510779654141516,0.1273923317153038,0.1898934868812561
1,20,0.016143863237649204,0.12386115561900053,0.18173526067733764
1,21,0.016415386074595154,0.12202367873176755,0.1725608328819275
1,22,0.015327909509185701,0.11648418856498648,0.1815569010257721
1,23,0.013773554492741823,0.11364830120898074,0.17906704230308532
1,24,0.012849334673024715,0.10668668165661907,0.1719939706802368
1,25,0.011862164785619826,0.10328172488949583,0.17949257006645203
1,26,0.012944909530365839,0.10059422496050774,0.19214929370880127
1,27,0.010208433567360044,0.09614704892547613,0.1725945653438568
1,28,0.009259695613244549,0.09340810581419529,0.17513462047576905
1,29,0.008837938067130744,0.0912237026413607,0.1762691957950592
1,30,0.008652928421832622,0.08937682974740219,0.17555878658294677
1,31,0.007540392082650215,0.08439361572288961,0.17296094760894776
1,32,0.007501898563047871,0.08370340092547017,0.17768726239204408
1,33,0.007669518193555996,0.08387064121938574,0.16539690737724305
1,34,0.0062446310783736405,0.07814454344174203,0.1731993356704712
1,35,0.005881677319342271,0.0759462908043793,0.1672040723800659
1,36,0.006452186352014542,0.07731192890265443,0.16816533555984498
1,37,0.00560515577995684,0.07182829261377893,0.169150958108902
1,38,0.005662256316724234,0.0712287343638135,0.1700522702217102
1,39,0.005103531169868074,0.06901071541166538,0.16364641256332396
1,40,0.004463000692497008,0.06435696879337652,0.1627222370147705
1,41,0.004770821430115029,0.06605355618260139,0.1705444149017334
1,42,0.005241134343668819,0.0661513867411789,0.1656644570350647
1,43,0.0038230682936264203,0.05877033038646885,0.16147011957168578
1,44,0.0034413090355345046,0.057025245959729215,0.1606516556739807
1,45,0.003700151288555935,0.05866551710154548,0.16607577424049377
1,46,0.0035824618109501897,0.057896503627326436,0.15910437602996827
1,47,0.003454496444691904,0.055975069173800907,0.1643772180557251
1,48,0.003312749132444151,0.05477570104784151,0.1619271026611328
1,49,0.0037704275033203886,0.05496869518604756,0.16614578862190246
1,50,0.00281088167905109,0.050907014071492014,0.15860031161308288
1,51,0.0026365660937735813,0.04905478335453255,0.16177750391960144
1,52,0.0024518696570536122,0.04702580369562243,0.16086360998153687
1,53,0.0024264077391708268,0.04663607948434481,0.16092942986488343
1,54,0.0022259706390090287,0.04543866689993206,0.1592625358104706
1,55,0.0022413680615834893,0.045533113052600875,0.15708720664978026
1,56,0.0020006822658819147,0.042751135553087995,0.1618381875038147
1,57,0.002107738469308242,0.043675070437101705,0.15983207550048828
1,58,0.0018191353805130349,0.040582192282152804,0.15905874185562133
1,59,0.0015835332893417216,0.03830275487391055,0.15853362493515014
1,60,0.0016779493894660846,0.03912053418306774,0.1579165062904358
1,61,0.001562919372401666,0.03743205434253057,0.15807977175712584
1,62,0.0014851002737355885,0.03670999777709723,0.15996019101142883
1,63,0.0014006078437436371,0.03505360582568323,0.15881361083984374
1,64,0.0013254908202536171,0.034500152637926114,0.15966534328460694
1,65,0.0012637204705970362,0.033076089336113376,0.1579495102405548
1,66,0.0011297205755603499,0.031321937325768504,0.1583630247592926
1,67,0.0010534148013335652,0.0305478623724243,0.15723837656974793
1,68,0.0010791418647801037,0.030858529309686623,0.15758125872612
1,69,0.0009391945473616942,0.029108541325063856,0.15673744268417358
1,70,0.0009052346539217979,0.02859658989302157,0.15698258571624757
1,71,0.0009254758437746204,0.028000759579016498,0.1569224855899811
1,72,0.0008286265502858442,0.026842646988834495,0.1573732168674469
1,73,0.0008388319883844815,0.026605132139430207,0.15641960711479186
1,74,0.0009116331696248381,0.02619583316089473,0.1570451424598694
1,75,0.0006922443344636121,0.024391094817060418,0.15688305644989015
1,76,0.0006918225685541983,0.023737193218880976,0.15653077926635742
1,77,0.0007043238723126705,0.023866271178117036,0.1559234564781189
1,78,0.0006698152905752067,0.023239106871444495,0.15623719763755797
1,79,0.0006687131316110026,0.02269962321351633,0.15665867381095885
1,80,0.0006667869117707596,0.022098153349701277,0.15607546315193177
1,81,0.0005638457682478475,0.02119245013195607,0.1564114237308502
1,82,0.0005626163086548331,0.021049726616843064,0.15635225853919982
1,83,0.0005771957415010547,0.020563778028571022,0.1563438729286194
1,84,0.0005422857405297691,0.02041952726612592,0.15616415853500365
1,85,0.0004624721886095358,0.019067216850989947,0.1562675281524658
1,86,0.00047812138527588105,0.019087815967023643,0.15634441056251525
1,87,0.000454515437981172,0.018610281500030884,0.15606556448936462
1,88,0.0004476955878068111,0.01818659419184588,0.15594109210968018
1,89,0.0004486923675023718,0.01810716185945394,0.15620950980186463
1,90,0.000420926392095862,0.017824624873215025,0.1559896626472473
1,91,0.00044729107026942076,0.018030180663145316,0.15648192768096925
1,92,0.0004014703582957736,0.0171023783282011,0.156056169462204
1,93,0.00041932151174987664,0.017224653187708154,0.15638802337646485
1,94,0.0004015800030581886,0.017153979012666413,0.1561897542476654
1,95,0.00035309285611729137,0.016527417454738423,0.15622089467048644
1,96,0.00035505453291916636,0.016268162547038452,0.15599725365638734
1,97,0.00035354892220930195,0.016383877680455093,0.15611886110305787
1,98,0.00036427939669738405,0.01671038128372968,0.1561121187210083
1,99,0.0003612888659670716,0.01646588217424232,0.1560712821006775
1,100,0.00037470890672702806,0.016362327611005128,0.15605374870300293
2,1,0.33482295995801686,0.5626728832905876,0.359564779996872
2,2,0.116586800968647,0.33030192223963295,0.32523005032539365
2,3,0.0958725520260632,0.2927089518554781,0.2800328872680664
2,4,0.07695019463598728,0.26304513709830324,0.2541452741622925
2,5,0.06392716273739935,0.2448277631167585,0.27318278074264524
2,6,0.10208524276688695,0.22970671519127128,0.24705179252624512
2,7,0.04989813968092203,0.21229209796015336,0.2321318706512451
2,8,0.04371727620251477,0.20212708930334325,0.2464672167301178
2,9,0.03906783303748816,0.1913858112191791,0.1995334568977356
2,10,0.03739405300915241,0.18322984582701085,0.21704387111663817
2,11,0.03353209431469441,0.17755776843091622,0.2409181032180786
2,12,0.12991023615114392,0.17355324110021744,0.19444302425384521
2,13,0.026286687497235835,0.15361449540947994,0.18725181460380555
2,14,0.022651086483336986,0.14696196028452035,0.19339892807006837
2,15,0.02094930413495749,0.1425882098352851,0.19520479354858397
2,16,0.02152115708217025,0.14220410193019162,0.18913761854171754
2,17,0.02424280711170286,0.13947005928033626,0.19358875908851625
2,18,0.019397615228127687,0.1305382066323589,0.196587677526474
2,19,0.017908702169870956,0.13076983226015676,0.1785222707271576
2,20,0.01568485423400998,0.12361937027837508,0.18611522822380067
2,21,0.019417050583753735,0.12511532886590684,0.18179564213752747
2,22,0.014031627291534097,0.11703835374510413,0.18015379042625426
2,23,0.014996381229301914,0.11622169815217348,0.17979960608482362
2,24,0.0180293736836873,0.11646088174614506,0.1779144896030426
2,25,0.01272260650889948,0.1048763117557032,0.17783264722824096
2,26,0.01032712341826409,0.10012901225648153,0.1739823987007141
2,27,0.010151728833932429,0.09851997731210524,0.18009374175071716
2,28,0.012186131649557501,0.10249327523885064,0.175725905752182
2,29,0.00946073008463718,0.09521574085831293,0.17130064368247985
2,30,0.009825523563800379,0.09443296599542267,0.18387122139930726
2,31,0.011474274656549096,0.09272036048762317,0.1912979057788849
2,32,0.008397928294027223,0.08724000037165347,0.17140833711624145
2,33,0.00828091308453586,0.08497992585684731,0.16567178945541383
2,34,0.00776091950815171,0.0789330144316702,0.17400344581604005
2,35,0.006882956742728129,0.07865678407494898,0.1751257709503174
2,36,0.007863353229966015,0.0817048299462578,0.17147878050804138
2,37,0.007248387801926583,0.0779204427924144,0.16782142095565797
2,38,0.005526505106268451,0.07072780608495609,0.16023792243003845
2,39,0.007453755052993074,0.07197188370435298,0.16536536564826965
2,40,0.004688963245972991,0.06661281999933631,0.16203979554176332
2,41,0.0051627530827187,0.06715016270503966,0.16523936972618103
2,42,0.005131216056412086,0.06789380583483871,0.1653174997806549
2,43,0.004907605691091157,0.06626716409001816,0.1620884867668152
2,44,0.004728717536036857,0.06397958295057402,0.16246670026779175
2,45,0.005199114460730925,0.0651295044580311,0.15876908507347107
2,46,0.0043847989759640766,0.05986983035356242,0.16311340408325195
2,47,0.0036460819110507147,0.057452703251698246,0.16292332134246826
2,48,0.0037405093751847742,0.057930613687189575,0.1624973822116852
2,49,0.003437372377421707,0.05593887596621571,0.1631213092327118
2,50,0.0035026771047268995,0.05517898617484356,0.16408631520271302
2,51,0.0031355651262914763,0.05345661093778519,0.16049336686134338
2,52,0.0028262047610478477,0.05012332360645019,0.1577195520401001
2,53,0.0025821285369573162,0.04883614090531937,0.15817898530960084
2,54,0.002643541854573414,0.04865631347436468,0.158866264629364
2,55,0.00254412925807992,0.04815395262318824,0.15802558240890502
2,56,0.002468309365020832,0.04641615946339705,0.15706103639602662
2,57,0.0020726799356983973,0.04368052307242985,0.1576987786769867
2,58,0.002238291809920338,0.04451279472242349,0.15666662969589235
2,59,0.001845216330437688,0.040998009269886886,0.1575178701877594
2,60,0.0018823789324611425,0.04035481064394655,0.15756361322402954
2,61,0.0016493691430659965,0.038650248710698276,0.15718233408927917
2,62,0.001506739186134655,0.03722044623077552,0.16034463934898377
2,63,0.0016586287754296791,0.037785257986455836,0.15673740739822387
2,64,0.0013520038036920596,0.03522119976956028,0.15689990701675416
2,65,0.0013336544374295044,0.034667898050230746,0.1567980474948883
2,66,0.0012134315728966612,0.03311126790621602,0.15614700779914856
2,67,0.0011998899194528348,0.03281295540555921,0.15706625924110412
2,68,0.0011094634378532647,0.03164838486044767,0.15672518229484558
2,69,0.0010337407445942517,0.030455166037633544,0.15625681619644166
2,70,0.001051701021345798,0.0302359894150239,0.1559796239376068
2,71,0.0009747036031563767,0.028686056236646097,0.15640636110305786
2,72,0.0008464206041360739,0.027377895973151666,0.15583890376091003
2,73,0.0008358136050694156,0.027017608179043664,0.15658628764152527
2,74,0.0008086824889411219,0.026130917053685216,0.15615236296653748
2,75,0.0006826108363107778,0.024601372434357244,0.15529554286003114
2,76,0.0007108420381307951,0.02471904965858746,0.15640796489715575
2,77,0.0007022763333952753,0.02407449269643982,0.1554761224269867
2,78,0.0006749610591767123,0.023489399237532495,0.15578694801330567
2,79,0.0006355738421727437,0.022761269832500586,0.15571601581573485
2,80,0.0006436964254564372,0.022364789309743914,0.1552054440021515
2,81,0.0005783899077010573,0.021538824504979473,0.15533894386291505
2,82,0.0005294101613049861,0.02076979331248466,0.15547224354743958
2,83,0.0005300772311049514,0.020701688388871195,0.15555893526077272
2,84,0.0004655398409056943,0.01968557894242814,0.15589188613891602
2,85,0.0004793239336053375,0.01955045823011999,0.1551842288017273
2,86,0.0004616635624683113,0.01888964437103156,0.1553861161708832
2,87,0.00045934121973696164,0.018881966447887907,0.15509882926940918
2,88,0.0004310671642888337,0.018261762569454935,0.1552875606536865
2,89,0.00041534893091738924,0.0176467867991964,0.15551198410987854
2,90,0.00041462786673073426,0.01762144352466796,0.15523583416938783
2,91,0.000464066325245949,0.01725185636685848,0.15516014409065246
2,92,0.00041924628700944596,0.017135061151991343,0.15546609897613525
2,93,0.0003955972885698429,0.016930080323459537,0.1551792245388031
2,94,0.0003903316753305262,0.017031421306218514,0.15534820699691773
2,95,0.00038304984980277367,0.016830181281740256,0.15528474769592285
2,96,0.00037842847122010427,0.016636115980375954,0.15529331064224244
2,97,0.0003350936483038822,0.01613735434360401,0.15526605677604674
2,98,0.0003575962531933328,0.016465952059063683,0.15527755126953124
2,99,0.0004012571555562317,0.016686768284283424,0.15532064213752747
2,100,0.00034143745297042185,0.016146341016394818,0.15523960876464843
3,1,0.30890983462780713,0.5426666110201245,0.3870903100967407
3,2,0.11766269366443158,0.3313576836601671,0.2963734227657318
3,3,0.08730725707150996,0.2836794271617088,0.35757318439483643
3,4,0.07802534958794713,0.25503454601613357,0.25533435416221617
3,5,0.06525590051338076,0.24117993040782307,0.24962358436584473
3,6,0.056159813887625934,0.22682770663313634,0.23461284475326538
3,7,0.047584497511386874,0.2105832030567987,0.2226944007396698
3,8,0.04166081767892465,0.19720087230600233,0.20831400337219239
3,9,0.039090298590809106,0.18953367773203597,0.21653661160469057
3,10,0.044805054923519494,0.18372014004727366,0.1962327208518982
3,11,0.03248499842658639,0.1689741180200632,0.19630586323738097
3,12,0.02720566521063447,0.15908026545400408,0.21486749510765077
3,13,0.02947871453659609,0.16030963104514045,0.18976794605255126
3,14,0.025628874482028188,0.15285429234040485,0.1948212694644928
3,15,0.07479737442731857,0.1485595084817847,0.18145140290260314
3,16,0.021166838490962982,0.13399864260838457,0.19016351804733275
3,17,0.01764162585064769,0.12786682911512523,0.22539752559661866
3,18,0.01637509508645162,0.12516959735938277,0.18975983057022094
3,19,0.018616353949904442,0.12092894698735344,0.17708688435554504
3,20,0.01551761630331166,0.11776581718081984,0.1979207338809967
3,21,0.014759045013645665,0.11739258009906312,0.18690234403610229
3,22,0.016340181837324053,0.11862373496665056,0.1747933612346649
3,23,0.012817473337613046,0.10919827223268976,0.1785219046115875
3,24,0.011536373207811266,0.10555499450849817,0.18492460417747497
3,25,0.015390624665515497,0.11043443958723667,0.17587110409736634
3,26,0.011269164312910288,0.10138958928574995,0.16926879024505614
3,27,0.01211727841523243,0.09941842641659303,0.17718570322990418
3,28,0.012298728319490328,0.09805292774206203,0.16839128322601318
3,29,0.008866354945395142,0.09178361838763466,0.17423844623565674
3,30,0.05729547392507084,0.09052318552776316,0.16572142119407654
3,31,0.008644494737731294,0.07805818910507616,0.1636041534423828
3,32,0.006558096421626396,0.0758946609071616,0.1693485991001129
3,33,0.006428342544380575,0.07530708799623673,0.1656918559551239
3,34,0.006619667735509574,0.07823833233100135,0.16529830293655395
3,35,0.006346372589888051,0.07713515902053457,0.1716965919017792
3,36,0.006215826642373577,0.07597873248980565,0.1670075710773468
3,37,0.005580092095443979,0.07354588457111566,0.16837814435958862
3,38,0.008130915700341575,0.07797078843844349,0.16891679248809816
3,39,0.03592143900003284,0.07337167480998386,0.16329473581314086
3,40,0.003352030723099597,0.05648825762144183,0.16225629506111144
3,41,0.003256906656420324,0.055813477204496635,0.16282704243659973
3,42,0.0042506997730582955,0.06172976127419182,0.16319441785812377
3,43,0.004493269835645333,0.06201125399540257,0.16488013706207275
3,44,0.003814396143401973,0.05979539767638462,0.1623227515220642
3,45,0.005137312252260744,0.06099211230678861,0.16491913213729859
3,46,0.0034305083653656766,0.05759373463370181,0.16129651975631715
3,47,0.003985585000063293,0.06081095751180556,0.16235234971046447
3,48,0.004173161243530922,0.059091358548151646,0.1600753511428833
3,49,0.002948031023540534,0.05296580502420908,0.17032261867523193
3,50,0.003239382899692282,0.054160541979356984,0.1655951322555542
